,text,lon,lat,n,p
0,"Anqing, Anhui",116.59447983014499,30.610753987856167,543722.0,83.0
1,"Bengbu, Anhui",117.32742716153206,33.111797751942454,378451.0,160.0
2,"Bozhou, Anhui",116.1805244145193,33.43340263424735,577562.0,108.0
4,"Chizhou, Anhui",117.36713135459591,30.283756551084235,85543.0,17.0
5,"Chuzhou, Anhui",118.0978430435531,32.54487700985207,108433.0,13.0
6,"Fuyang, Anhui",115.70046755271129,32.91640489401912,910743.0,155.0
7,"Hefei, Anhui",117.2444177313486,31.993576289294587,517879.0,174.0
8,"Huaibei, Anhui",116.73713328566625,33.721360576885566,124450.0,27.0
9,"Huainan, Anhui",116.73261524292128,32.75688930897649,146525.0,27.0
11,"Lu'an, Anhui",116.31236252809116,31.757143036536924,508786.0,69.0
12,"Ma'anshan, Anhui",118.61361798413778,31.532466992284682,140931.0,38.0
13,"Suzhou, Anhui",117.20814968876832,33.86090044616499,454988.0,41.0
14,"Tongling, Anhui",117.89434848479422,30.94488654810102,75651.0,29.0
15,"Wuhu, Anhui",118.3267445279161,31.066872214864414,225079.0,34.0
17,"Beijing, Beijing",116.41067149908223,40.18491420154801,1393815.0,414.0
18,"Chongqing, Chongqing",107.87484014058165,30.058648744456253,2163127.0,576.0
19,"Fuzhou, Fujian",119.17615386622008,26.04997953785006,448937.0,72.0
34,"Lanzhou, Gansu",103.63379042466816,36.358181743209016,177726.0,36.0
43,"Dongguan, Guangdong",113.87631757536094,22.935404268138516,172762.0,99.0
44,"Foshan, Guangdong",112.9450634774803,23.012954121222904,282955.0,84.0
45,"Guangzhou, Guangdong",113.53604589534162,23.354201314017804,726857.0,347.0
47,"Huizhou, Guangdong",114.49678959646609,23.24508546879302,239501.0,62.0
56,"Shenzhen, Guangdong",114.1351945290025,22.654700919151388,282895.0,418.0
62,"Zhuhai, Guangdong",113.35958196159108,22.174439319377345,116800.0,98.0
66,"Fangchenggang, Guangxi",108.00242498745394,21.881895316201003,49840.0,19.0
68,"Guilin, Guangxi",110.51207435091261,25.35341842822817,243837.0,32.0
69,"Hechi, Guangxi",107.84006336272267,24.64474761023546,72365.0,28.0
72,"Liuzhou, Guangxi",109.37911636696562,24.938963949804453,148317.0,24.0
73,"Nanning, Guangxi",108.4633815906346,23.05874298434663,330124.0,55.0
76,"Yulin, Guangxi",110.18316302680775,22.443303585103184,4054.0,11.0
79,"Guiyang, Guizhou",106.70782475293706,26.84339443023645,97685.0,36.0
86,"Haikou, Hainan",110.42584871054443,19.831294299634052,104420.0,39.0
88,"Sanya, Hainan",109.41815156834221,18.391594315374814,63101.0,54.0
96,"Shijiazhuang, Hebei",114.44089151373012,38.12945859189474,254213.0,29.0
97,"Tangshan, Hebei",118.3391638349048,39.73691019307779,256152.0,58.0
102,"Harbin, Heilongjiang",127.96224939542925,45.63840108941143,613321.0,198.0
120,"Nanyang, Henan",112.28340493581071,33.04632801495528,825035.0,156.0
124,"Shangqiu, Henan",115.69706482102627,34.29107628164058,509486.0,91.0
126,"Xinyang, Henan",114.88209962973913,32.081215219701235,698255.0,274.0
128,"Zhengzhou, Henan",113.47192307553944,34.62610007078864,505723.0,157.0
130,"Zhumadian, Henan",114.1477227989983,32.92430993382684,536384.0,139.0
131,"Enshi Tujia and Miao, Hubei",109.54879048179771,30.191644528999767,95402.0,252.0
132,"Ezhou, Hubei",114.77999267914909,30.3680113638434,132399.0,1394.0
133,"Huanggang, Hubei",115.34594550065906,30.720629292066754,904746.0,2907.0
134,"Huangshi, Hubei",115.02217204716202,29.928338113789383,316030.0,1015.0
135,"Jingmen, Hubei",112.60917473398544,31.071173408414793,365292.0,928.0
136,"Jingzhou, Hubei",112.57160217553304,29.995548471463078,801357.0,1580.0
137,"Qianjiang, Hubei",112.7579101637722,30.33818577627995,122512.0,198.0
138,"Shennongjia, Hubei",110.47578752144143,31.594407983040853,57233.0,11.0
139,"Shiyan, Hubei",110.44108665699856,32.45908925525933,422177.0,672.0
140,"Suizhou Shi, Hubei",113.42424683898763,31.830089273544214,315056.0,1307.0
141,"Tianmen, Hubei",113.11523535774877,30.645943824749715,196985.0,496.0
142,"Wuhan, Hubei",114.33846306171473,30.626243317686328,944741.0,49671.0
144,"Xianning, Hubei",114.17470141428011,29.626077978297097,350426.0,836.0
145,"Xiantao, Hubei",113.37882438937832,30.290414369016254,182300.0,575.0
146,"Xiaogan, Hubei",113.88025339050725,31.119830985041382,649313.0,3518.0
147,"Yichang, Hubei",111.1360461118689,30.748986850277035,486223.0,931.0
149,"Changsha, Hunan",113.15247142871604,28.228391282954615,616075.0,242.0
159,"Yueyang, Hunan",113.25413846611934,29.06521025722458,399742.0,156.0
162,"Changzhou, Jiangsu",119.63761942720399,31.627180058512465,186530.0,51.0
163,"Huai'an, Jiangsu",118.96318853849846,33.35670900427516,322208.0,66.0
164,"Lianyungang, Jiangsu",119.13103962164445,34.533635020973556,206143.0,48.0
165,"Nanjing, Jiangsu",118.84200209472101,31.930199008491183,400270.0,93.0
166,"Nantong, Jiangsu",120.99412487388973,32.18994489622159,280673.0,40.0
167,"Suqian, Jiangsu",118.51894471572011,33.78518477561305,56483.0,13.0
168,"Suzhou, Jiangsu",120.64212425904628,31.37632739007297,387762.0,87.0
169,"Taizhou, Jiangsu",120.0551137516529,32.571307142855886,216981.0,37.0
170,"Wuxi, Jiangsu",120.07597378255686,31.526701987915338,259990.0,55.0
