,text,lon,lat,n,p
0,AuvergneRhôneAlpes,4.533867163809792,45.514671877559906,24788.0,2093
1,BourgogneFrancheComté,4.802360564962161,47.23396279056981,21568.0,1569
2,Bretagne,-2.841888134228635,48.18419915286389,14304.0,603
3,Centre,1.684971098893638,47.4795470217415,6779.0,561
4,Corse,9.103979094741106,42.15592477253042,2696.0,225
5,GrandEst,5.604253339039618,48.682613339684785,54811.0,5479
6,HautsdeFrance,2.763303792030426,49.9647175625575,40337.0,1753
7,Normandie,0.102434895956752,49.11723404257112,9139.0,688
8,NouvelleAquitaine,0.20885497097397,45.19885027243979,10970.0,912
9,Occitanie,2.144679038295268,43.69734627090695,12197.0,1082
10,PaysdelaLoire,-0.804351705437829,47.484844735668716,4638.0,368
11,Paca,6.054202190110254,43.95405260120755,21270.0,1927
12,IledeFrance,2.493693868065631,48.708923864050426,80596.0,7660
