,text,lon,lat,n,p
0,Busan,129.08144553180736,35.202467120549024,762420.0,120
1,Chungcheongbuk-do,127.8182155432884,36.7006063395347,295959.0,45
2,Chungcheongnam-do,126.83101720928677,36.52536973291612,483868.0,136
3,Daegu,128.57992603162717,35.781166159670995,703932.0,6781
4,Daejeon,127.37859450654027,36.31868326023618,259162.0,39
5,Gangwon-do,128.2810098386633,37.71683078389773,19778.0,45
6,Gwangju,126.85512622980217,35.13442287106791,197479.0,27
7,Gyeonggi-do,127.18552322822912,37.490708272950286,3437834.0,581
8,Gyeongsangbuk-do,128.74910132413382,36.314380993460205,771325.0,1271
9,Gyeongsangnam-do,128.27773389017267,35.299867039822736,723736.0,107
10,Incheon,126.49149965776202,37.54265933155593,821134.0,80
11,Jeju,126.55504506653065,33.38452107032736,26.0,12
12,Jeollabuk-do,127.15520435151515,35.69782635048273,4517.0,16
13,Jeollanam-do,126.90135586950183,34.8677241192763,106.0,15
14,Sejong,127.23919705566047,36.54758200951249,3834.0,46
15,Seoul,126.99095441098058,37.533297868543016,2846124.0,563
16,Ulsan,129.2414921117393,35.536414887179184,225857.0,40
