,text,lon,lat,n,p
0,Alabama,-86.82796680110482,32.79324243750877,68505.0,2003
1,Alaska,-152.2125702928842,64.22766818197616,1884.0,191
2,Arizona,-111.66405435019666,34.29374123982472,33444.0,2456
3,Arkansas,-92.43950902689585,34.8991626092658,16441.0,927
4,California,-119.60763519835501,37.24501172348653,1675160.0,16524
5,Colorado,-105.54780455894127,38.99904781532678,80667.0,5172
6,Connecticut,-72.72752356378275,41.62219369345782,166808.0,6906
7,Delaware,-75.50649082864489,39.00950401765102,8677.0,783
8,District of Columbia,-77.01538037961706,38.908639919026,1765.0,1097
9,Florida,-82.48494220860448,28.64073058310032,29232.0,13629
10,Georgia,-83.45075936622224,32.651583089252036,51068.0,7554
11,Hawaii,-156.34881069038403,20.248448598668976,3447.0,387
12,Idaho,-114.65940438812648,44.38953213217075,9765.0,1169
13,Illinois,-89.14846357639533,40.12491620155485,118280.0,12259
14,Indiana,-86.28188618086227,39.91942125897871,55865.0,4942
15,Iowa,-93.50018040043068,42.07607869374391,1382.0,945
16,Kansas,-98.38065967042314,38.485243446971616,1411.0,845
17,Kentucky,-85.28910259927886,37.52685167942969,29039.0,1081
18,Louisiana,-92.01170347390746,31.07754259614654,48903.0,14866
19,Maine,-69.22915046489035,45.37984561703754,2304.0,499
20,Maryland,-76.79926956810303,39.05441869057758,28796.0,4045
21,Massachusetts,-71.81280978595008,42.258297804346114,40061.0,13837
22,Michigan,-85.73546611165362,44.87902052802495,218974.0,17218
23,Minnesota,-94.19575502683136,46.35298764999633,6650.0,980
24,Mississippi,-89.66512679193112,32.75226623415902,16870.0,1848
25,Missouri,-92.47777355310302,38.36749387221487,34524.0,2723
26,Montana,-109.64541228830201,47.03427022010328,2582.0,318
27,Nebraska,-99.80968656246752,41.52747003777213,1448.0,402
28,Nevada,-116.65551251698253,39.35699457625675,11008.0,1953
29,New Hampshire,-71.5781503685476,43.68791125438786,1797.0,715
30,New Jersey,-74.6723377515329,40.19500732162257,174868.0,41091
31,New Mexico,-106.10785639690478,34.42153572632995,6561.0,688
32,New York,-75.64852044213919,42.99223023067689,1357888.0,130830
33,North Carolina,-79.38755637778003,35.5439709040694,30457.0,2870
34,North Dakota,-100.46969979650987,47.446460662395744,497.0,225
35,Ohio,-82.62697514415801,40.4770345697854,134861.0,4442
36,Oklahoma,-97.5076316865081,35.58366659843357,23524.0,1325
37,Oregon,-120.55389471311592,43.937892063660804,21818.0,1132
38,Pennsylvania,-77.79915613756883,40.87410625331236,229418.0,12973
39,Rhode Island,-71.55441027291505,41.67587526499796,10757.0,1082
40,South Carolina,-80.89759441171248,33.916519431332446,10245.0,2230
41,South Dakota,-100.23058625672223,44.43567999813512,312.0,285
42,Tennessee,-86.34243191316382,35.84419440878882,8649.0,3800
43,Texas,-99.35798438714029,31.49105417994257,13939.0,7583
44,Utah,-111.67836422682245,39.324794215524335,5704.0,1675
45,Vermont,-72.66389348540041,44.07398340067906,1963.0,543
46,Virginia,-78.84083805646303,37.516444191020405,35383.0,2878
47,Washington,-120.44107265913657,47.382287838835424,296046.0,8383
48,West Virginia,-80.61225655222141,38.642763876864436,4440.0,345
49,Wisconsin,-89.73591002090366,44.64078545241902,19214.0,2438
50,Wyoming,-107.55096090416848,43.0002914423172,1384.0,212
